bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publication_date_valid,primary_author,publication_year,publication_month,rating_bucket,review_to_rating_ratio
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208.0,270244,12017.0,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,True,Gary Paulsen,2000.0,4.0,3-4,0.0444672222139992
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9781557344496,eng,48.0,36,2.0,1994-08-28,Teacher Created Resources,True,Donna Ickes,1994.0,8.0,3-4,0.05555555555555555
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144.0,2067,334.0,2001-01-23,Delacorte Press,True,Gary Paulsen,2001.0,1.0,3-4,0.16158684083212385
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56.0,6,0.0,2003-06-10,Cherry Lane Music Company,True,Molly Hatchet,2003.0,6.0,4-4.5,0.0
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,eng,228.0,99,16.0,2005-11-01,The New Press,True,Dale Peck,2005.0,11.0,3-4,0.16161616161616163
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304.0,167,4.0,2005-11-01,Changeling Press,True,Angela Knight,2005.0,11.0,3-4,0.023952095808383235
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256.0,978,111.0,2006-08-17,Viking Juvenile,True,Delia Sherman,2006.0,8.0,3-4,0.11349693251533742
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137.0,4454,302.0,2003-04-14,Firebird,True,Patricia A. McKillip,2003.0,4.0,4-4.5,0.06780422092501123
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228.0,1176,96.0,2004-06-08,iUniverse,True,Zilpha Keatley Snyder,2004.0,6.0,4-4.5,0.08163265306122448
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339.0,301,43.0,2005-04-12,Shambhala,True,Kate Horsley,2005.0,4.0,3-4,0.14285714285714285
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369.0,345,12.0,1990-08-28,Ivy Books,True,Philippa Carr,1990.0,8.0,3-4,0.034782608695652174
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388.0,29686,2626.0,2006-08-29,Amistad,True,Edward P. Jones,2006.0,8.0,3-4,0.08845920635990029
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,eng,14.0,55,12.0,2004-06-15,HarperAudio,True,Edward P. Jones,2004.0,6.0,3-4,0.21818181818181817
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576.0,22,3.0,2004-06-15,Harper,True,Edward P. Jones,2004.0,6.0,3-4,0.13636363636363635
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334.0,1456,82.0,2006-05-15,FT Press,True,Satyajit Das,2006.0,5.0,3-4,0.05631868131868132
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352.0,52,4.0,2005-12-14,Archaia,True,Mark Smylie,2005.0,12.0,4-4.5,0.07692307692307693
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416.0,562,37.0,1982-06-01,Farrar  Straus and Giroux,True,John McPhee,1982.0,6.0,4-4.5,0.06583629893238434
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,eng,248.0,1630,203.0,2006-05-16,Farrar Straus Giroux,True,John McPhee,2006.0,5.0,3-4,0.1245398773006135
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128.0,268,22.0,1986-04-01,Farrar  Straus and Giroux,True,John McPhee,1986.0,4.0,4-4.5,0.08208955223880597
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,eng,288.0,3498,305.0,1990-09-01,Farrar  Straus and Giroux,True,John McPhee,1990.0,9.0,4-4.5,0.08719268153230417
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720.0,3115,228.0,1999-01-06,Farrar  Straus and Giroux,True,John McPhee,1999.0,1.0,4-4.5,0.07319422150882825
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448.0,5704,261.0,1991-04-01,Farrar  Straus and Giroux,True,John McPhee,1991.0,4.0,4-4.5,0.045757363253856945
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160.0,698,52.0,1994-04-01,Farrar  Straus and Giroux,True,John McPhee,1994.0,4.0,3-4,0.07449856733524356
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288.0,542,36.0,1994-04-01,Farrar  Straus and Giroux,True,John McPhee,1994.0,4.0,4-4.5,0.06642066420664207
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208.0,1341,98.0,1987-11-01,Farrar  Straus and Giroux,True,John McPhee,1987.0,11.0,4-4.5,0.07307979120059657
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81.0,1423,70.0,2002-03-01,Dramatists Play Service,True,Wendy Wasserstein,2002.0,3.0,3-4,0.049191848208011243
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249.0,2766,64.0,1991-07-02,Vintage,True,Wendy Wasserstein,1991.0,7.0,3-4,0.023138105567606652
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138.0,31,1.0,2006-03-29,Routledge,True,Heidi Hayes Jacobs,2006.0,3.0,3-4,0.03225806451612903
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,eng,128.0,62,4.0,2006-03-14,North Light Books,True,Heidi Boyd,2006.0,3.0,3-4,0.06451612903225806
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,192.0,860,53.0,2003-09-01,Chosen Books,True,Heidi Baker,2003.0,9.0,4-4.5,0.06162790697674419
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,eng,108.0,77,2.0,1997-01-28,Association for Supervision & Curriculum Development,True,Heidi Hayes Jacobs,1997.0,1.0,3-4,0.025974025974025976
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9780753454947,eng,352.0,153317,2257.0,2002-11-15,Kingfisher,True,Johanna Spyri,2002.0,11.0,3-4,0.014721133338116452
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192.0,55,5.0,2004-11-15,ASCD,True,Heidi Hayes Jacobs,2004.0,11.0,3-4,0.09090909090909091
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,192.0,34,6.0,2003-04-28,Sovereign World,True,Rolland Baker,2003.0,4.0,4-4.5,0.17647058823529413
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,eng,832.0,11797,659.0,2003-10-16,Workman Publishing Company,True,Heidi Murkoff,2003.0,10.0,3-4,0.055861659744002715
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,eng,123.0,34,8.0,2004-05-10,One Hour Entertainment,True,Heidi Fleiss,2004.0,5.0,3-4,0.23529411764705882
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,eng,128.0,78,4.0,2004-08-19,North Light Books,True,Heidi Boyd,2004.0,8.0,3-4,0.05128205128205128
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423.0,2785,166.0,1987-06-15,Ace Books,True,Frank Herbert,1987.0,6.0,3-4,0.05960502692998205
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436.0,38778,568.0,1987-07-01,Ace Books,True,Frank Herbert,1987.0,7.0,3-4,0.014647480530197534
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331.0,97494,2359.0,1987-07-15,Ace Books,True,Frank Herbert,1987.0,7.0,3-4,0.02419636080169036
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,eng,592.0,784,21.0,2004-07-01,Tor Books,True,Brian Herbert,2004.0,7.0,4-4.5,0.026785714285714284
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480.0,272,20.0,1984-04-16,Putnam,True,Frank Herbert,1984.0,4.0,3-4,0.07352941176470588
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426.0,4789,83.0,2006-08-29,Tor Science Fiction,True,Frank Herbert,2006.0,8.0,3-4,0.017331384422635206
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471.0,45388,644.0,1987-08-15,Ace Books,True,Frank Herbert,1987.0,8.0,3-4,0.01418877236273905
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192.0,26153,102.0,2002-06-12,Houghton Mifflin Harcourt,True,Gary Russell,2002.0,6.0,4.5-5,0.0039001261805529
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544.0,69167,4551.0,1996-09-29,Ballantine Books,True,Bryce Courtenay,1996.0,9.0,4-4.5,0.06579727326615294
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291.0,45,13.0,2005-09-13,Delacorte Books for Young Readers,True,Bryce Courtenay,2005.0,9.0,4-4.5,0.28888888888888886
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,eng,256.0,16,1.0,2004-11-01,Thomas Nelson,True,John C. Maxwell,2004.0,11.0,4-4.5,0.0625
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205.0,174,16.0,2006-05-19,Wiley,True,Dave Lakhani,2006.0,5.0,3-4,0.09195402298850575
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,240.0,10,0.0,2000-02-07,Heinemann Drama,True,Louis E. Catron,2000.0,2.0,3-4,0.0
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336.0,76,9.0,2005-05-03,William Morrow Paperbacks,True,Adam Ginsberg,2005.0,5.0,3-4,0.11842105263157894
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386.0,111,9.0,2006-10-30,Wiley,True,Marsha Collier,2006.0,10.0,3-4,0.08108108108108109
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,eng,260.0,24,0.0,2006-01-24,McGraw-Hill,True,Chris Malta,2006.0,1.0,3-4,0.0
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384.0,55,4.0,2004-09-17,Wiley,True,Marsha Collier,2004.0,9.0,3-4,0.07272727272727272
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260.0,9,0.0,2006-06-06,Wiley,True,Julia Wilkinson,2006.0,6.0,4-4.5,0.0
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,eng,391.0,22,1.0,2004-05-31,Wiley,True,Marsha Collier,2004.0,5.0,3-4,0.045454545454545456
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,eng,864.0,17,3.0,2005-04-25,Wiley,True,Marsha Collier,2005.0,4.0,3-4,0.17647058823529413
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,873.0,166,4.0,2006-07-29,O'Reilly Media,True,Lucas Carlson,2006.0,7.0,3-4,0.024096385542168676
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240.0,50,5.0,2005-05-03,Citadel,True,Ruby Ann Boxcar,2005.0,5.0,4-4.5,0.1
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206.0,13,2.0,2005-05-03,Citadel,True,Ruby Ann Boxcar,2005.0,5.0,4-4.5,0.15384615384615385
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514.0,64,1.0,2007-01-01,O'Reilly Media,True,Rob Orsini,2007.0,1.0,3-4,0.015625
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838.0,16643,1851.0,2004-05-31,Penguin Classics,True,Leo Tolstoy,2004.0,5.0,4-4.5,0.11121792945983296
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,960.0,109420,5696.0,2002-11-05,Signet,True,Leo Tolstoy,2002.0,11.0,4-4.5,0.05205629683787242
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,837.0,2904,309.0,2003-01-30,Penguin Books,True,Leo Tolstoy,2003.0,1.0,4-4.5,0.10640495867768596
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,80.0,16,3.0,1965-11-26,Cliffs Notes,True,Marianne Sturman,1965.0,11.0,3-4,0.1875
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803.0,9564,726.0,2003-07-01,Barnes & Noble Classics,True,Leo Tolstoy,2003.0,7.0,4-4.5,0.07590966122961104
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,752.0,474,72.0,2004-11-23,Dover Publications,True,Leo Tolstoy,2004.0,11.0,4-4.5,0.1518987341772152
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803.0,303,48.0,2004-08-26,Barnes & Noble,True,Leo Tolstoy,2004.0,8.0,4-4.5,0.15841584158415842
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360.0,411,65.0,2006-01-28,Mira Books,True,Gloria Goldreich,2006.0,1.0,2-3,0.15815085158150852
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128.0,1204,33.0,1987-11-26,Cambridge University Press,True,Anthony Thorlby,1987.0,11.0,4-4.5,0.027408637873754152
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,eng,160.0,3429,279.0,1990-07-03,Penguin Books,True,Mulk Raj Anand,1990.0,7.0,3-4,0.08136482939632546
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367.0,2163,216.0,1998-06-30,Vintage,True,John Banville,1998.0,6.0,3-4,0.09986130374479889
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,eng,256.0,613,31.0,1996-02-01,Buccaneer Books,True,Eliot Ness,1996.0,2.0,3-4,0.05057096247960848
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,eng,320.0,308,40.0,2005-09-27,Scribner,True,Narendra Jadhav,2005.0,9.0,3-4,0.12987012987012986
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,0932863051,9780932863058,eng,100.0,10,0.0,1995-01-28,Clarity Press,True,V.T. Rajshekar,1995.0,1.0,4-4.5,0.0
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224.0,16,4.0,2000-12-20,Rowman & Littlefield Publishers,True,Vasant Moon,2000.0,12.0,3-4,0.25
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,eng,216.0,10,0.0,2003-09-22,Pearson,True,Barry R. Cournoyer,2003.0,9.0,3-4,0.0
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,1557344035,9781557344038,eng,48.0,17,0.0,1991-09-28,Teacher Created Resources,True,John Carratello,1991.0,9.0,3-4,0.0
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,eng,360.0,1035,23.0,1994-10-01,Harper Perennial,True,George Smoot,1994.0,10.0,4-4.5,0.022222222222222223
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,eng,250.0,36,6.0,2002-05-01,EMC/Paradigm Publishing,True,Madeleine L'Engle,2002.0,5.0,3-4,0.16666666666666666
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9780439271691,eng,32.0,15,0.0,2002-01-01,Teaching Resources,True,Tara MacCarthy,2002.0,1.0,3-4,0.0
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,0606105263,9780606105262,spa,205.0,6,1.0,1984-06-01,Turtleback Books,True,Madeleine L'Engle,1984.0,6.0,3-4,0.16666666666666666
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367.0,376,17.0,1994-06-01,Little  Brown Book Group,True,Cynthia Harrod-Eagles,1994.0,6.0,4-4.5,0.04521276595744681
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352.0,3086,237.0,2006-01-03,William Morrow,True,Charles Todd,2006.0,1.0,4-4.5,0.07679844458846403
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,eng,320.0,352,44.0,2005-11-01,Atria Books,True,Ewan McGregor,2005.0,11.0,3-4,0.125
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,eng,331.0,9852,633.0,2006-03-07,Tor Books,True,Daniel Abraham,2006.0,3.0,3-4,0.06425091352009744
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9781400032495,eng,244.0,821,78.0,2004-08-10,Vintage Crime/Black Lizard,True,Charles Willeford,2004.0,8.0,3-4,0.09500609013398295
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215.0,731,72.0,2005-03-08,Vintage Crime/Black Lizard,True,Charles Willeford,2005.0,3.0,4-4.5,0.09849521203830369
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,191.0,2897,178.0,2004-08-10,Vintage Crime/Black Lizard,True,Charles Willeford,2004.0,8.0,3-4,0.06144287193648602
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144.0,98,11.0,1990-10-03,Vintage,True,Charles Willeford,1990.0,10.0,3-4,0.11224489795918367
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738.0,20888,1688.0,2005-08-30,Picador USA,True,Tom Wolfe,2005.0,8.0,3-4,0.08081194944465722
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9780806930770,eng,48.0,66,19.0,2001-10-01,Sterling,True,Edward Lear,2001.0,10.0,3-4,0.2878787878787879
